# 走你 · 发布日志

> 每次发布必填。SOP 里「发布后 5 分钟复盘」曾经零执行，因为它靠自觉；
> 现在焊进发布流程：不填就没有日志，下次发布前 `--check` 会提醒。
>
> **三个问题**：这轮改了什么 · 踩了什么坑 · 坑是否已升级为自动守卫。
> 第三列长期是「—」，说明在重复踩坑而没有沉淀。

| 版本 | 日期 | 改了什么 | 踩了什么坑 | 升级为守卫 |
|---|---|---|---|---|
| v37 | 2026-08-07 | 接驳行两行分层 | 住宿行按钮掉到下一行：同一类名下有两种 DOM 结构，一刀切改 flex→block | UI 方案加「改布局前先查清有几种结构」 |
| v38 | 2026-08-07 | 文字对齐+间距收紧 | 首页 3 张卡片指向族名而非线路 id，点了没反应 | 静态终检第 11 项：卡片指向必须是真实线路 |
| v39 | 2026-08-07 | 建全量扫描 | 稻城线接驳文字被 nowrap 截断（扫描当场抓到） | 第 16 项：每张卡/每一天/每个按钮/布局异常 |
| v40 | 2026-08-07 | 上海 3 天 | 无（对照 20 条清单写，零返工） | — |
| v41 | 2026-08-07 | 杭州+重庆+厦门+三亚 四条 | 三亚统计区两格重复显示天数（成都犯过同样的） | 第 17 项：交叉一致性横向比对 |
| v42 | 2026-08-07 | 交叉体检+修 4 类真问题 | run-all 用管道吃掉退出码，测试失败不中断发布 | run-all 改为 || exit 1 真正传播失败 |
| v43 | 2026-08-07 | 按执行审计重构 SOP：功能线脚本化、复盘焊进发布、缺陷分级并进报告 | SOP 17 条里 5 条从未执行，全是靠自觉的条目 | proposal-scan.js + release-log.js + SOP 新增「防止长出死条文」两条规矩 |
| v44 | 2026-08-08 | 线路封面配图上线（39 张：实景 34 · 地图 5）+ SOP 加配图章节 | 外链图在受限环境全白框，折腾两轮才改成 base64 内嵌；关键词搜图准确率仅七成，需人工核对 | SOP 四条硬约束：只存缩略图/必须内嵌/必须人工核对/地图必须拼瓦片居中 |
| v45 | 2026-08-08 | 行程页移除设计稿；行程卡加封面+封面即高德导航入口 | 用了 flatMap 触犯跨端纪律（老内核不支持），被静态检查拦下 | 静态检查「老内核语法零残留」本就存在，这次生效了 |
| v46 | 2026-08-08 | 行程按族去重；封面署名移至图片来源页 | 首版去重按 routeId，但天数变体是不同 routeId，改天数仍会堆卡片 | UI 方案记明：去重要按线路族不是 routeId |
| v47 | 2026-08-08 | 接驳行移除重复导航；导航改直接起导航；行程封面改纯图；北疆封面换禾木黄昏 | 北疆封面抓到 G217 路牌矢量图，过滤词没覆盖 .svg 与路牌类 | 抓取器 BAD 过滤加 .svg/sign/shield/Kokudou |
| v48 | 2026-08-08 | 接驳行短内容合并单行/去空行/左缘对齐；界面细节六条铁律入守卫 | 两行分层设计对短内容是负优化；嵌套 padding 累加导致左缘逐行偏移 2px | 第 18 项界面细节守卫：6 类断言跑遍全线路全天数 |
| v49 | 2026-08-08 | 接驳行改 CSS Grid，文字起点与上下间距全对齐 | 守卫量的是容器位置所以全绿，但文字实际差 2px；改 Grid 后按钮又被挤到第二行 | 第 18 项改为用 Range 量文字真实起点 |
| v50 | 2026-08-08 | 修嵌套内边距累加：今晚住区间 50px→14px | 接驳块每层都给 9px 内边距，5 层嵌套堆出 45px 空白；我上一轮只改了对齐没查间距 | 第 18 项加第 7 类：区块间距 >24px 且中间无内容即失败 |
